student_id,age,gender,academic_level,country,avg_use,platform_use,affects,sleep_time,mental_score,marital_status,conflicts,addicted_score
1,19,female,undergraduate,bangladesh,5.2,instagram,yes,6.5,6,in relationship,3,8
2,22,male,graduate,india,2.1,twitter,no,7.5,8,single,0,3
3,20,female,undergraduate,usa,6.0,tiktok,yes,5.0,5,complicated,4,9
4,18,male,high school,uk,3.0,youtube,no,7.0,7,single,1,4
5,21,male,graduate,canada,4.5,facebook,yes,6.0,6,in relationship,2,7
6,19,female,undergraduate,australia,7.2,instagram,yes,4.5,4,complicated,5,9
7,23,male,graduate,germany,1.5,linkedin,no,8.0,9,single,0,2
8,20,female,undergraduate,brazil,5.8,snapchat,yes,6.0,6,in relationship,2,8
9,18,male,high school,japan,4.0,tiktok,no,6.5,7,single,1,5
10,21,female,graduate,south korea,3.3,instagram,no,7.0,7,in relationship,1,4
11,19,male,undergraduate,france,4.8,snapchat,yes,6.2,5,complicated,3,7
12,20,female,undergraduate,spain,5.5,tiktok,yes,5.8,6,in relationship,2,8
13,22,male,graduate,italy,2.8,linkedin,no,7.2,8,single,1,4
14,18,female,high school,mexico,6.5,instagram,yes,5.5,5,single,4,9
15,21,male,undergraduate,russia,3.7,youtube,no,6.8,7,in relationship,2,5
16,20,female,undergraduate,china,4.2,tiktok,yes,6.0,6,complicated,3,7
17,24,male,graduate,sweden,2.0,linkedin,no,7.8,8,single,0,3
18,19,female,high school,norway,5.0,instagram,yes,5.7,5,in relationship,3,8
19,21,male,undergraduate,denmark,3.5,facebook,no,6.7,7,single,1,5
20,20,female,undergraduate,netherlands,4.7,snapchat,yes,5.9,6,complicated,3,7
21,18,male,high school,belgium,5.3,tiktok,yes,5.5,5,single,4,8
22,23,female,graduate,switzerland,2.5,linkedin,no,7.3,8,in relationship,1,4
23,19,male,undergraduate,austria,4.9,instagram,yes,5.8,6,complicated,3,7
24,20,female,undergraduate,portugal,5.7,tiktok,yes,5.4,5,single,4,8
25,22,male,graduate,greece,3.2,facebook,no,6.9,7,in relationship,2,5
26,19,female,high school,ireland,6.1,instagram,yes,5.2,5,complicated,4,9
27,21,male,undergraduate,new zealand,3.8,youtube,no,6.6,7,single,1,5
28,20,female,undergraduate,singapore,4.4,tiktok,yes,5.9,6,in relationship,3,7
29,24,male,graduate,malaysia,2.2,linkedin,no,7.4,8,single,0,3
30,19,female,high school,thailand,5.9,instagram,yes,5.3,5,complicated,4,8
31,21,male,undergraduate,vietnam,3.6,facebook,no,6.7,7,single,1,5
32,20,female,undergraduate,philippines,4.8,snapchat,yes,5.7,6,in relationship,3,7
33,18,male,high school,indonesia,5.4,tiktok,yes,5.4,5,complicated,4,8
34,23,female,graduate,taiwan,2.6,linkedin,no,7.2,8,single,1,4
35,19,male,undergraduate,hong kong,4.7,instagram,yes,5.8,6,in relationship,3,7
36,20,female,undergraduate,turkey,5.6,tiktok,yes,5.5,5,complicated,4,8
37,22,male,graduate,israel,3.1,facebook,no,6.8,7,single,1,5
38,19,female,high school,uae,6.2,instagram,yes,5.1,5,in relationship,4,9
39,21,male,undergraduate,egypt,3.9,youtube,no,6.5,7,complicated,2,6
40,20,female,undergraduate,morocco,4.5,tiktok,yes,5.8,6,single,3,7
41,24,male,graduate,south africa,2.3,linkedin,no,7.3,8,in relationship,1,4
42,19,female,high school,nigeria,5.8,instagram,yes,5.4,5,complicated,4,8
43,21,male,undergraduate,kenya,3.7,facebook,no,6.6,7,single,2,5
44,20,female,undergraduate,ghana,4.6,snapchat,yes,5.7,6,in relationship,3,7
45,18,male,high school,argentina,5.5,tiktok,yes,5.3,5,single,4,8
46,23,female,graduate,chile,2.7,linkedin,no,7.1,8,complicated,1,4
47,19,male,undergraduate,colombia,4.8,instagram,yes,5.9,6,in relationship,3,7
48,20,female,undergraduate,peru,5.5,tiktok,yes,5.6,5,single,4,8
49,22,male,graduate,venezuela,3.3,facebook,no,6.7,7,in relationship,2,5
50,19,female,high school,ecuador,6.3,instagram,yes,5.2,5,complicated,4,9
51,21,male,undergraduate,uruguay,3.8,youtube,no,6.4,7,single,2,6
52,20,female,undergraduate,paraguay,4.7,tiktok,yes,5.8,6,in relationship,3,7
53,24,male,graduate,bolivia,2.4,linkedin,no,7.2,8,complicated,1,4
54,19,female,high school,costa rica,5.7,instagram,yes,5.5,5,single,4,8
55,21,male,undergraduate,panama,3.6,facebook,no,6.5,7,in relationship,2,5
56,20,female,undergraduate,jamaica,4.9,snapchat,yes,5.6,6,complicated,3,7
57,18,male,high school,trinidad,5.6,tiktok,yes,5.2,5,single,4,8
58,23,female,graduate,bahamas,2.8,linkedin,no,7.0,8,in relationship,1,4
59,19,male,undergraduate,iceland,4.6,instagram,yes,5.9,6,complicated,3,7
60,20,female,undergraduate,finland,5.4,tiktok,yes,5.7,5,single,4,8
61,22,male,graduate,poland,3.1,facebook,no,7.1,7,single,1,5
62,19,female,undergraduate,romania,5.6,instagram,yes,5.6,5,in relationship,3,8
63,20,male,undergraduate,hungary,4.2,tiktok,yes,6.0,6,complicated,3,7
64,18,female,high school,czech republic,6.1,snapchat,yes,5.2,4,single,4,9
65,23,male,graduate,slovakia,2.3,linkedin,no,7.4,8,in relationship,1,3
66,21,female,undergraduate,croatia,4.8,instagram,yes,5.8,6,single,3,7
67,20,male,undergraduate,serbia,3.9,youtube,no,6.5,7,complicated,2,6
68,19,female,high school,slovenia,5.7,tiktok,yes,5.4,5,in relationship,4,8
69,22,male,graduate,bulgaria,2.8,linkedin,no,7.2,8,single,1,4
70,20,female,undergraduate,estonia,4.5,instagram,yes,5.9,6,complicated,3,7
71,18,male,high school,latvia,5.4,snapchat,yes,5.5,5,single,4,8
72,21,female,graduate,lithuania,3.2,facebook,no,6.8,7,in relationship,2,5
73,19,male,undergraduate,ukraine,4.9,tiktok,yes,5.7,6,complicated,3,7
74,20,female,undergraduate,moldova,5.8,instagram,yes,5.3,5,single,4,8
75,23,male,graduate,belarus,2.5,linkedin,no,7.3,8,in relationship,1,4
76,21,female,undergraduate,kazakhstan,4.6,snapchat,yes,5.8,6,single,3,7
77,19,male,high school,uzbekistan,5.5,tiktok,yes,5.4,5,complicated,4,8
78,22,female,graduate,kyrgyzstan,2.9,facebook,no,7.0,7,in relationship,2,5
79,20,male,undergraduate,tajikistan,4.7,youtube,yes,5.9,6,single,3,7
80,18,female,high school,armenia,5.9,instagram,yes,5.2,5,complicated,4,9
81,21,male,graduate,georgia,3.0,linkedin,no,7.1,8,in relationship,1,4
82,19,female,undergraduate,azerbaijan,4.8,tiktok,yes,5.7,6,single,3,7
83,20,male,undergraduate,cyprus,3.8,facebook,no,6.6,7,complicated,2,6
84,22,female,graduate,malta,2.7,linkedin,no,7.2,8,in relationship,1,4
85,18,male,high school,luxembourg,5.6,snapchat,yes,5.3,5,single,4,8
86,21,female,undergraduate,monaco,4.5,instagram,yes,5.8,6,complicated,3,7
87,19,male,high school,andorra,5.3,tiktok,yes,5.5,5,in relationship,4,8
88,23,female,graduate,san marino,2.6,linkedin,no,7.3,8,single,1,4
89,20,male,undergraduate,vatican city,4.4,youtube,yes,6.0,6,complicated,3,7
90,18,female,high school,liechtenstein,5.8,instagram,yes,5.2,5,single,4,9
91,22,male,graduate,montenegro,2.9,facebook,no,7.0,7,in relationship,2,5
92,19,female,undergraduate,albania,4.7,tiktok,yes,5.8,6,complicated,3,7
93,21,male,undergraduate,north macedonia,3.7,snapchat,no,6.5,7,single,2,6
94,20,female,high school,kosovo,5.5,instagram,yes,5.4,5,in relationship,4,8
95,23,male,graduate,bosnia,2.4,linkedin,no,7.4,8,complicated,1,4
96,19,female,undergraduate,qatar,4.9,tiktok,yes,5.7,6,single,3,7
97,18,male,high school,kuwait,5.7,snapchat,yes,5.3,5,in relationship,4,8
98,22,female,graduate,bahrain,2.8,linkedin,no,7.1,8,complicated,1,4
99,20,male,undergraduate,oman,4.6,instagram,yes,5.9,6,single,3,7
100,21,female,undergraduate,jordan,5.4,tiktok,yes,5.5,5,in relationship,4,8
101,19,male,high school,lebanon,5.8,youtube,yes,5.2,5,complicated,4,9
102,23,female,graduate,iraq,2.5,linkedin,no,7.3,8,single,1,4
103,20,male,undergraduate,yemen,4.7,facebook,yes,5.8,6,in relationship,3,7
104,18,female,high school,syria,5.6,instagram,yes,5.4,5,single,4,8
105,22,male,graduate,afghanistan,2.9,linkedin,no,7.0,7,complicated,2,5
106,19,female,undergraduate,pakistan,4.8,tiktok,yes,5.7,6,in relationship,3,7
107,21,male,undergraduate,nepal,3.8,youtube,no,6.6,7,single,2,6
108,20,female,high school,bhutan,5.5,snapchat,yes,5.5,5,complicated,4,8
109,23,male,graduate,sri lanka,2.6,linkedin,no,7.2,8,in relationship,1,4
110,19,female,undergraduate,maldives,4.9,instagram,yes,5.8,6,single,3,7
111,20,male,undergraduate,bangladesh,6.1,instagram,yes,6.2,5,single,4,8
112,21,female,undergraduate,india,5.8,tiktok,yes,5.9,6,in relationship,3,7
113,19,male,undergraduate,nepal,4.9,facebook,no,7.1,7,single,2,5
114,22,female,graduate,pakistan,5.5,instagram,yes,6.0,5,single,4,8
115,20,male,undergraduate,sri lanka,5.2,tiktok,yes,6.3,6,in relationship,3,7
116,19,female,undergraduate,maldives,4.8,instagram,no,7.2,8,single,2,5
117,21,male,graduate,bangladesh,6.0,facebook,yes,5.8,5,in relationship,4,8
118,20,female,undergraduate,india,5.7,instagram,yes,6.1,6,single,3,7
119,22,male,graduate,nepal,4.7,tiktok,no,7.3,7,single,2,5
120,19,female,undergraduate,pakistan,5.4,instagram,yes,6.2,5,in relationship,4,8
121,20,male,undergraduate,sri lanka,5.9,facebook,yes,5.9,6,single,3,7
122,21,female,graduate,maldives,4.6,instagram,no,7.4,8,in relationship,2,5
123,19,male,undergraduate,bangladesh,5.3,tiktok,yes,6.3,5,single,4,8
124,22,female,graduate,india,5.8,instagram,yes,5.8,6,in relationship,3,7
125,20,male,undergraduate,nepal,4.5,facebook,no,7.5,7,single,2,5
126,21,female,graduate,pakistan,5.2,instagram,yes,6.4,5,in relationship,4,8
127,19,male,undergraduate,sri lanka,5.7,tiktok,yes,5.7,6,single,3,7
128,20,female,undergraduate,maldives,4.4,instagram,no,7.6,8,in relationship,2,5
129,22,male,graduate,bangladesh,5.1,facebook,yes,6.5,5,single,4,8
130,21,female,graduate,india,5.6,instagram,yes,5.6,6,in relationship,3,7
131,19,male,undergraduate,nepal,4.3,tiktok,no,7.7,7,single,2,5
132,20,female,undergraduate,pakistan,5.0,instagram,yes,6.6,5,in relationship,4,8
133,22,male,graduate,sri lanka,5.5,facebook,yes,5.5,6,single,3,7
134,21,female,graduate,maldives,4.2,instagram,no,7.8,8,in relationship,2,5
135,19,male,undergraduate,bangladesh,4.9,tiktok,yes,6.7,5,single,4,8
136,20,female,undergraduate,india,5.4,instagram,yes,5.4,6,in relationship,3,7
137,22,male,graduate,nepal,4.1,facebook,no,7.9,7,single,2,5
138,21,female,graduate,pakistan,4.8,instagram,yes,6.8,5,in relationship,4,8
139,19,male,undergraduate,sri lanka,5.3,tiktok,yes,5.3,6,single,3,7
140,20,female,undergraduate,maldives,4.0,instagram,no,8.0,8,in relationship,2,5
141,22,male,graduate,bangladesh,4.7,facebook,yes,6.9,5,single,4,8
142,21,female,graduate,india,5.2,instagram,yes,5.2,6,in relationship,3,7
143,19,male,undergraduate,nepal,3.9,tiktok,no,8.1,7,single,2,5
144,20,female,undergraduate,pakistan,4.6,instagram,yes,7.0,5,in relationship,4,8
145,22,male,graduate,sri lanka,5.1,facebook,yes,5.1,6,single,3,7
146,21,female,graduate,maldives,3.8,instagram,no,8.2,8,in relationship,2,5
147,19,male,undergraduate,bangladesh,4.5,tiktok,yes,7.1,5,single,4,8
148,20,female,undergraduate,india,5.0,instagram,yes,5.0,6,in relationship,3,7
149,22,male,graduate,nepal,3.7,facebook,no,8.3,7,single,2,5
150,21,female,graduate,pakistan,4.4,instagram,yes,7.2,5,in relationship,4,8
151,19,male,undergraduate,sri lanka,4.9,tiktok,yes,4.9,6,single,3,7
152,20,female,undergraduate,maldives,3.6,instagram,no,8.4,8,in relationship,2,5
153,22,male,graduate,bangladesh,4.3,facebook,yes,7.3,5,single,4,8
154,21,female,graduate,india,4.8,instagram,yes,4.8,6,in relationship,3,7
155,19,male,undergraduate,nepal,3.5,tiktok,no,8.5,7,single,2,5
156,20,female,undergraduate,pakistan,4.2,instagram,yes,7.4,5,in relationship,4,8
157,22,male,graduate,sri lanka,4.7,facebook,yes,4.7,6,single,3,7
158,21,female,graduate,maldives,3.4,instagram,no,8.6,8,in relationship,2,5
159,19,male,undergraduate,bangladesh,4.1,tiktok,yes,7.5,5,single,4,8
160,20,female,undergraduate,india,4.6,instagram,yes,4.6,6,in relationship,3,7
161,19,female,undergraduate,bangladesh,5.3,instagram,yes,6.1,5,single,3,7
162,21,male,graduate,india,4.8,facebook,no,7.2,7,in relationship,2,6
163,20,female,undergraduate,nepal,5.5,tiktok,yes,5.9,6,single,4,8
164,22,male,graduate,pakistan,4.7,instagram,yes,6.3,5,in relationship,3,7
165,19,female,undergraduate,sri lanka,5.1,facebook,no,7.0,7,single,2,5
166,21,male,graduate,maldives,5.4,tiktok,yes,6.0,6,in relationship,4,8
167,20,female,undergraduate,bangladesh,4.9,instagram,yes,6.4,5,single,3,7
168,22,male,graduate,india,5.2,facebook,no,7.1,7,in relationship,2,6
169,19,female,undergraduate,nepal,5.6,tiktok,yes,5.8,6,single,4,8
170,21,male,graduate,pakistan,4.6,instagram,yes,6.5,5,in relationship,3,7
171,20,female,undergraduate,sri lanka,5.0,facebook,no,7.3,7,single,2,5
172,22,male,graduate,maldives,5.3,tiktok,yes,5.7,6,in relationship,4,8
173,19,female,undergraduate,bangladesh,4.8,instagram,yes,6.6,5,single,3,7
174,21,male,graduate,india,5.1,facebook,no,7.4,7,in relationship,2,6
175,20,female,undergraduate,nepal,5.7,tiktok,yes,5.6,6,single,4,8
176,22,male,graduate,pakistan,4.5,instagram,yes,6.7,5,in relationship,3,7
177,19,female,undergraduate,sri lanka,4.9,facebook,no,7.5,7,single,2,5
178,21,male,graduate,maldives,5.2,tiktok,yes,5.5,6,in relationship,4,8
179,20,female,undergraduate,bangladesh,4.7,instagram,yes,6.8,5,single,3,7
180,22,male,graduate,india,5.0,facebook,no,7.6,7,in relationship,2,6
181,19,female,undergraduate,nepal,5.8,tiktok,yes,5.4,6,single,4,8
182,21,male,graduate,pakistan,4.4,instagram,yes,6.9,5,in relationship,3,7
183,20,female,undergraduate,sri lanka,4.8,facebook,no,7.7,7,single,2,5
184,22,male,graduate,maldives,5.1,tiktok,yes,5.3,6,in relationship,4,8
185,19,female,undergraduate,bangladesh,4.6,instagram,yes,7.0,5,single,3,7
186,21,male,graduate,india,4.9,facebook,no,7.8,7,in relationship,2,6
187,20,female,undergraduate,nepal,5.9,tiktok,yes,5.2,6,single,4,8
188,22,male,graduate,pakistan,4.3,instagram,yes,7.1,5,in relationship,3,7
189,19,female,undergraduate,sri lanka,4.7,facebook,no,7.9,7,single,2,5
190,21,male,graduate,maldives,5.0,tiktok,yes,5.1,6,in relationship,4,8
191,20,female,undergraduate,bangladesh,4.5,instagram,yes,7.2,5,single,3,7
192,22,male,graduate,india,4.8,facebook,no,8.0,7,in relationship,2,6
193,19,female,undergraduate,nepal,6.0,tiktok,yes,5.0,6,single,4,8
194,21,male,graduate,pakistan,4.2,instagram,yes,7.3,5,in relationship,3,7
195,20,female,undergraduate,sri lanka,4.6,facebook,no,8.1,7,single,2,5
196,22,male,graduate,maldives,4.9,tiktok,yes,4.9,6,in relationship,4,8
197,19,female,undergraduate,bangladesh,4.4,instagram,yes,7.4,5,single,3,7
198,21,male,graduate,india,4.7,facebook,no,8.2,7,in relationship,2,6
199,20,female,undergraduate,nepal,6.1,tiktok,yes,4.8,6,single,4,8
200,22,male,graduate,pakistan,4.1,instagram,yes,7.5,5,in relationship,3,7
201,19,female,undergraduate,sri lanka,4.5,facebook,no,8.3,7,single,2,5
202,21,male,graduate,maldives,4.8,tiktok,yes,4.7,6,in relationship,4,8
203,20,female,undergraduate,bangladesh,4.3,instagram,yes,7.6,5,single,3,7
204,22,male,graduate,india,4.6,facebook,no,8.4,7,in relationship,2,6
205,19,female,undergraduate,nepal,6.2,tiktok,yes,4.6,6,single,4,8
206,21,male,graduate,pakistan,4.0,instagram,yes,7.7,5,in relationship,3,7
207,20,female,undergraduate,sri lanka,4.4,facebook,no,8.5,7,single,2,5
208,22,male,graduate,maldives,4.7,tiktok,yes,4.5,6,in relationship,4,8
209,19,female,undergraduate,bangladesh,4.2,instagram,yes,7.8,5,single,3,7
210,21,male,graduate,india,4.5,facebook,no,8.6,7,in relationship,2,6
211,20,female,undergraduate,nepal,6.3,tiktok,yes,4.4,6,single,4,8
212,22,male,graduate,pakistan,3.9,instagram,yes,7.9,5,in relationship,3,7
213,19,female,undergraduate,sri lanka,4.3,facebook,no,8.7,7,single,2,5
214,21,male,graduate,maldives,4.6,tiktok,yes,4.3,6,in relationship,4,8
215,20,female,undergraduate,bangladesh,4.1,instagram,yes,8.0,5,single,3,7
216,22,male,graduate,india,4.4,facebook,no,8.8,7,in relationship,2,6
217,19,female,undergraduate,nepal,6.4,tiktok,yes,4.2,6,single,4,8
218,21,male,graduate,pakistan,3.8,instagram,yes,8.1,5,in relationship,3,7
219,20,female,undergraduate,sri lanka,4.2,facebook,no,8.9,7,single,2,5
220,22,male,graduate,maldives,4.5,tiktok,yes,4.1,6,in relationship,4,8
221,19,female,undergraduate,usa,6.5,instagram,yes,6.0,5,single,4,9
222,21,male,graduate,uk,5.8,tiktok,yes,6.5,6,in relationship,3,7
223,20,female,undergraduate,australia,4.5,instagram,no,7.5,8,single,2,5
224,22,male,graduate,germany,4.2,facebook,no,7.8,7,in relationship,2,4
225,19,female,undergraduate,japan,3.8,line,no,7.9,8,single,1,3
226,21,male,graduate,italy,5.5,instagram,yes,6.8,6,single,3,7
227,20,female,undergraduate,south korea,5.2,kakaotalk,yes,6.5,6,in relationship,3,6
228,22,male,graduate,russia,4.8,vkontakte,no,7.2,7,single,2,5
229,19,female,undergraduate,usa,7.0,tiktok,yes,5.8,4,in relationship,4,9
